KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,MIN_TUPY,MAX_TUPY,MIN_OSTRY,MAX_OSTRY,EXPORT_DWH
CS,INTERVAL,7700,420128420128000,<128; 128>,128,1900-01-01,9999-09-09,NA,NA,128,128,NA
CS,INTERVAL,7700,420129420129000,<129; 129>,129,1900-01-01,9999-09-09,NA,NA,129,129,NA
CS,INTERVAL,7700,420130420130000,<130; 130>,130,1900-01-01,9999-09-09,NA,NA,130,130,NA
CS,INTERVAL,7700,420130620140000,<130; 140),130 až 140 (více nebo rovno 130 a méně než 140),1900-01-01,9999-09-09,NA,140,130,NA,NA
CS,INTERVAL,7700,420130799999000,<130; N),Od 130 (více nebo rovno 130),1900-01-01,9999-09-09,NA,99999999999999999999,130,NA,NA
CS,INTERVAL,7700,420131420131000,<131; 131>,131,1900-01-01,9999-09-09,NA,NA,131,131,NA
CS,INTERVAL,7700,420132420132000,<132; 132>,132,1900-01-01,9999-09-09,NA,NA,132,132,NA
CS,INTERVAL,7700,420133420133000,<133; 133>,133,1900-01-01,9999-09-09,NA,NA,133,133,NA
CS,INTERVAL,7700,420134420134000,<134; 134>,134,1900-01-01,9999-09-09,NA,NA,134,134,NA
CS,INTERVAL,7700,420135420135000,<135; 135>,135,1900-01-01,9999-09-09,NA,NA,135,135,NA
CS,INTERVAL,7700,420136420136000,<136; 136>,136,1900-01-01,9999-09-09,NA,NA,136,136,NA
CS,INTERVAL,7700,420137420137000,<137; 137>,137,1900-01-01,9999-09-09,NA,NA,137,137,NA
CS,INTERVAL,7700,420137420138000,<137; 138>,137 až 138 (více nebo rovno 137 a méně nebo rovno 138),1900-01-01,9999-09-09,NA,NA,137,138,NA
CS,INTERVAL,7700,420138420138000,<138; 138>,138,1900-01-01,9999-09-09,NA,NA,138,138,NA
CS,INTERVAL,7700,420139420139000,<139; 139>,139,1900-01-01,9999-09-09,NA,NA,139,139,NA
CS,INTERVAL,7700,420140420140000,<140; 140>,140,1900-01-01,9999-09-09,NA,NA,140,140,NA
CS,INTERVAL,7700,420140620150000,<140; 150),140 až 150 (více nebo rovno 140 a méně než 150),1900-01-01,9999-09-09,NA,150,140,NA,NA
CS,INTERVAL,7700,420141420141000,<141; 141>,141,1900-01-01,9999-09-09,NA,NA,141,141,NA
CS,INTERVAL,7700,420141420142000,<141; 142>,141 až 142 (více nebo rovno 141 a méně nebo rovno 142),1900-01-01,9999-09-09,NA,NA,141,142,NA
CS,INTERVAL,7700,420142420142000,<142; 142>,142,1900-01-01,9999-09-09,NA,NA,142,142,NA
CS,INTERVAL,7700,420143420143000,<143; 143>,143,1900-01-01,9999-09-09,NA,NA,143,143,NA
CS,INTERVAL,7700,420144420144000,<144; 144>,144,1900-01-01,9999-09-09,NA,NA,144,144,NA
CS,INTERVAL,7700,420145420145000,<145; 145>,145,1900-01-01,9999-09-09,NA,NA,145,145,NA
CS,INTERVAL,7700,420146420146000,<146; 146>,146,1900-01-01,9999-09-09,NA,NA,146,146,NA
CS,INTERVAL,7700,420147420147000,<147; 147>,147,1900-01-01,9999-09-09,NA,NA,147,147,NA
CS,INTERVAL,7700,420148420148000,<148; 148>,148,1900-01-01,9999-09-09,NA,NA,148,148,NA
CS,INTERVAL,7700,420149420149000,<149; 149>,149,1900-01-01,9999-09-09,NA,NA,149,149,NA
CS,INTERVAL,7700,420149420150000,<149; 150>,149 až 150 (více nebo rovno 149 a méně nebo rovno 150),1900-01-01,9999-09-09,NA,NA,149,150,NA
CS,INTERVAL,7700,420150420150000,<150; 150>,150,1900-01-01,9999-09-09,NA,NA,150,150,NA
CS,INTERVAL,7700,420150420151000,<150; 151>,150 až 151 (více nebo rovno 150 a méně nebo rovno 151),1900-01-01,9999-09-09,NA,NA,150,151,NA
CS,INTERVAL,7700,420150420476000,<150; 476>,150 až 476 (více nebo rovno 150 a méně nebo rovno 476),1900-01-01,9999-09-09,NA,NA,150,476,NA
CS,INTERVAL,7700,420150620160000,<150; 160),150 až 160 (více nebo rovno 150 a méně než 160),1900-01-01,9999-09-09,NA,160,150,NA,NA
CS,INTERVAL,7700,420150620200000,<150; 200),150 až 200 (více nebo rovno 150 a méně než 200),1900-01-01,9999-09-09,NA,200,150,NA,NA
CS,INTERVAL,7700,420150799999000,<150; N),Od 150 (více nebo rovno 150),1900-01-01,9999-09-09,NA,99999999999999999999,150,NA,NA
CS,INTERVAL,7700,420151420151000,<151; 151>,151,1900-01-01,9999-09-09,NA,NA,151,151,NA
CS,INTERVAL,7700,420151420152000,<151; 152>,151 až 152 (více nebo rovno 151 a méně nebo rovno 152),1900-01-01,9999-09-09,NA,NA,151,152,NA
CS,INTERVAL,7700,420151420300000,<151; 300>,151 až 300 (více nebo rovno 151 a méně nebo rovno 300),1900-01-01,9999-09-09,NA,NA,151,300,NA
CS,INTERVAL,7700,420152420152000,<152; 152>,152,1900-01-01,9999-09-09,NA,NA,152,152,NA
CS,INTERVAL,7700,420152420153000,<152; 153>,152 až 153 (více nebo rovno 152 a méně nebo rovno 153),1900-01-01,9999-09-09,NA,NA,152,153,NA
CS,INTERVAL,7700,420153420153000,<153; 153>,153,1900-01-01,9999-09-09,NA,NA,153,153,NA
CS,INTERVAL,7700,420154420154000,<154; 154>,154,1900-01-01,9999-09-09,NA,NA,154,154,NA
CS,INTERVAL,7700,420155420155000,<155; 155>,155,1900-01-01,9999-09-09,NA,NA,155,155,NA
CS,INTERVAL,7700,420155420156000,<155; 156>,155 až 156 (více nebo rovno 155 a méně nebo rovno 156),1900-01-01,9999-09-09,NA,NA,155,156,NA
CS,INTERVAL,7700,420156420156000,<156; 156>,156,1900-01-01,9999-09-09,NA,NA,156,156,NA
CS,INTERVAL,7700,420157420157000,<157; 157>,157,1900-01-01,9999-09-09,NA,NA,157,157,NA
CS,INTERVAL,7700,420157420158000,<157; 158>,157 až 158 (více nebo rovno 157 a méně nebo rovno 158),1900-01-01,9999-09-09,NA,NA,157,158,NA
CS,INTERVAL,7700,420158420158000,<158; 158>,158,1900-01-01,9999-09-09,NA,NA,158,158,NA
CS,INTERVAL,7700,420159420159000,<159; 159>,159,1900-01-01,9999-09-09,NA,NA,159,159,NA
CS,INTERVAL,7700,420159420160000,<159; 160>,159 až 160 (více nebo rovno 159 a méně nebo rovno 160),1900-01-01,9999-09-09,NA,NA,159,160,NA
CS,INTERVAL,7700,420160420160000,<160; 160>,160,1900-01-01,9999-09-09,NA,NA,160,160,NA
CS,INTERVAL,7700,420160620170000,<160; 170),160 až 170 (více nebo rovno 160 a méně než 170),1900-01-01,9999-09-09,NA,170,160,NA,NA
CS,INTERVAL,7700,420161420161000,<161; 161>,161,1900-01-01,9999-09-09,NA,NA,161,161,NA
CS,INTERVAL,7700,420162420162000,<162; 162>,162,1900-01-01,9999-09-09,NA,NA,162,162,NA
CS,INTERVAL,7700,420163420163000,<163; 163>,163,1900-01-01,9999-09-09,NA,NA,163,163,NA
CS,INTERVAL,7700,420163420164000,<163; 164>,163 až 164 (více nebo rovno 163 a méně nebo rovno 164),1900-01-01,9999-09-09,NA,NA,163,164,NA
CS,INTERVAL,7700,420164420164000,<164; 164>,164,1900-01-01,9999-09-09,NA,NA,164,164,NA
CS,INTERVAL,7700,420165420165000,<165; 165>,165,1900-01-01,9999-09-09,NA,NA,165,165,NA
CS,INTERVAL,7700,420166420166000,<166; 166>,166,1900-01-01,9999-09-09,NA,NA,166,166,NA
CS,INTERVAL,7700,420166420167000,<166; 167>,166 až 167 (více nebo rovno 166 a méně nebo rovno 167),1900-01-01,9999-09-09,NA,NA,166,167,NA
CS,INTERVAL,7700,420167420167000,<167; 167>,167,1900-01-01,9999-09-09,NA,NA,167,167,NA
CS,INTERVAL,7700,420168420168000,<168; 168>,168,1900-01-01,9999-09-09,NA,NA,168,168,NA
CS,INTERVAL,7700,420169420169000,<169; 169>,169,1900-01-01,9999-09-09,NA,NA,169,169,NA
CS,INTERVAL,7700,420170420170000,<170; 170>,170,1900-01-01,9999-09-09,NA,NA,170,170,NA
CS,INTERVAL,7700,420170620180000,<170; 180),170 až 180 (více nebo rovno 170 a méně než 180),1900-01-01,9999-09-09,NA,180,170,NA,NA
CS,INTERVAL,7700,420171420171000,<171; 171>,171,1900-01-01,9999-09-09,NA,NA,171,171,NA
CS,INTERVAL,7700,420171420172000,<171; 172>,171 až 172 (více nebo rovno 171 a méně nebo rovno 172),1900-01-01,9999-09-09,NA,NA,171,172,NA
CS,INTERVAL,7700,420172420172000,<172; 172>,172,1900-01-01,9999-09-09,NA,NA,172,172,NA
CS,INTERVAL,7700,420173420173000,<173; 173>,173,1900-01-01,9999-09-09,NA,NA,173,173,NA
CS,INTERVAL,7700,420174420174000,<174; 174>,174,1900-01-01,9999-09-09,NA,NA,174,174,NA
CS,INTERVAL,7700,420174420175000,<174; 175>,174 až 175 (více nebo rovno 174 a méně nebo rovno 175),1900-01-01,9999-09-09,NA,NA,174,175,NA
CS,INTERVAL,7700,420175420175000,<175; 175>,175,1900-01-01,9999-09-09,NA,NA,175,175,NA
CS,INTERVAL,7700,420176420176000,<176; 176>,176,1900-01-01,9999-09-09,NA,NA,176,176,NA
CS,INTERVAL,7700,420176420177000,<176; 177>,176 až 177 (více nebo rovno 176 a méně nebo rovno 177),1900-01-01,9999-09-09,NA,NA,176,177,NA
CS,INTERVAL,7700,420177420177000,<177; 177>,177,1900-01-01,9999-09-09,NA,NA,177,177,NA
CS,INTERVAL,7700,420178420178000,<178; 178>,178,1900-01-01,9999-09-09,NA,NA,178,178,NA
CS,INTERVAL,7700,420178420179000,<178; 179>,178 až 179 (více nebo rovno 178 a méně nebo rovno 179),1900-01-01,9999-09-09,NA,NA,178,179,NA
CS,INTERVAL,7700,420179420179000,<179; 179>,179,1900-01-01,9999-09-09,NA,NA,179,179,NA
CS,INTERVAL,7700,420180420180000,<180; 180>,180,1900-01-01,9999-09-09,NA,NA,180,180,NA
CS,INTERVAL,7700,420180620190000,<180; 190),180 až 190 (více nebo rovno 180 a méně než 190),1900-01-01,9999-09-09,NA,190,180,NA,NA
CS,INTERVAL,7700,420181420181000,<181; 181>,181,1900-01-01,9999-09-09,NA,NA,181,181,NA
CS,INTERVAL,7700,420182420182000,<182; 182>,182,1900-01-01,9999-09-09,NA,NA,182,182,NA
CS,INTERVAL,7700,420183420183000,<183; 183>,183,1900-01-01,9999-09-09,NA,NA,183,183,NA
CS,INTERVAL,7700,420184420184000,<184; 184>,184,1900-01-01,9999-09-09,NA,NA,184,184,NA
CS,INTERVAL,7700,420185420185000,<185; 185>,185,1900-01-01,9999-09-09,NA,NA,185,185,NA
CS,INTERVAL,7700,420185420186000,<185; 186>,185 až 186 (více nebo rovno 185 a méně nebo rovno 186),1900-01-01,9999-09-09,NA,NA,185,186,NA
CS,INTERVAL,7700,420186420186000,<186; 186>,186,1900-01-01,9999-09-09,NA,NA,186,186,NA
CS,INTERVAL,7700,420187420187000,<187; 187>,187,1900-01-01,9999-09-09,NA,NA,187,187,NA
CS,INTERVAL,7700,420187420188000,<187; 188>,187 až 188 (více nebo rovno 187 a méně nebo rovno 188),1900-01-01,9999-09-09,NA,NA,187,188,NA
CS,INTERVAL,7700,420188420188000,<188; 188>,188,1900-01-01,9999-09-09,NA,NA,188,188,NA
CS,INTERVAL,7700,420189420189000,<189; 189>,189,1900-01-01,9999-09-09,NA,NA,189,189,NA
CS,INTERVAL,7700,420189420190000,<189; 190>,189 až 190 (více nebo rovno 189 a méně nebo rovno 190),1900-01-01,9999-09-09,NA,NA,189,190,NA
CS,INTERVAL,7700,420190420190000,<190; 190>,190,1900-01-01,9999-09-09,NA,NA,190,190,NA
CS,INTERVAL,7700,420190620200000,<190; 200),190 až 200 (více nebo rovno 190 a méně než 200),1900-01-01,9999-09-09,NA,200,190,NA,NA
CS,INTERVAL,7700,420191420191000,<191; 191>,191,1900-01-01,9999-09-09,NA,NA,191,191,NA
CS,INTERVAL,7700,420192420192000,<192; 192>,192,1900-01-01,9999-09-09,NA,NA,192,192,NA
CS,INTERVAL,7700,420193420193000,<193; 193>,193,1900-01-01,9999-09-09,NA,NA,193,193,NA
